TREE_COLORS								
SEPARATOR TAB								
COLOR	#a6cee3							
DATASET_LABEL	Taxonomy							
LEGEND_COLORS	#EEE685	#4F94CD	#EE7600	#00CD00	#43CD80	#90EE90	#919191
LEGEND_LABELS	Actinobacteria	Bacteroidetes	Firmicutes	Alphaproteobacteria	Betaproteobacteria	Gammaproteobacteria	Others
LEGEND_SHAPES	1	1	1	1	1	1	1	1
LEGEND_TITLE	Taxonomy							
DATA								
HQB-357	range	#4F94CD	Bacteroidetes					
HQB-358	range	#90EE90	Gammaproteobacteria					
HQB-359	range	#90EE90	Gammaproteobacteria					
HQB-360	range	#90EE90	Gammaproteobacteria					
HQB-361	range	#90EE90	Gammaproteobacteria					
HQB-362	range	#90EE90	Gammaproteobacteria					
HQB-363	range	#90EE90	Gammaproteobacteria					
HQB-365	range	#90EE90	Gammaproteobacteria					
HQB-366	range	#90EE90	Gammaproteobacteria					
HQB-367	range	#90EE90	Gammaproteobacteria					
HQB-368	range	#90EE90	Gammaproteobacteria					
HQB-369	range	#90EE90	Gammaproteobacteria					
HQB-370	range	#90EE90	Gammaproteobacteria					
HQB-371	range	#90EE90	Gammaproteobacteria					
HQB-372	range	#90EE90	Gammaproteobacteria					
HQB-375	range	#90EE90	Gammaproteobacteria					
HQB-376	range	#90EE90	Gammaproteobacteria					
HQB-377	range	#90EE90	Gammaproteobacteria					
HQB-378	range	#90EE90	Gammaproteobacteria					
HQB-379	range	#90EE90	Gammaproteobacteria					
HQB-380	range	#90EE90	Gammaproteobacteria					
HQB-381	range	#90EE90	Gammaproteobacteria					
HQB-382	range	#90EE90	Gammaproteobacteria					
HQB-383	range	#4F94CD	Bacteroidetes					
HQB-384	range	#90EE90	Gammaproteobacteria					
HQB-385	range	#90EE90	Gammaproteobacteria					
HQB-386	range	#90EE90	Gammaproteobacteria					
HQB-387	range	#4F94CD	Bacteroidetes					
HQB-388	range	#90EE90	Gammaproteobacteria					
HQB-389	range	#90EE90	Gammaproteobacteria					
HQB-390	range	#4F94CD	Bacteroidetes					
HQB-391	range	#90EE90	Gammaproteobacteria					
HQB-392	range	#90EE90	Gammaproteobacteria					
HQB-393	range	#90EE90	Gammaproteobacteria					
HQB-394	range	#4F94CD	Bacteroidetes					
HQB-395	range	#90EE90	Gammaproteobacteria					
HQB-396	range	#90EE90	Gammaproteobacteria					
HQB-397	range	#90EE90	Gammaproteobacteria					
HQB-398	range	#4F94CD	Bacteroidetes					
HQB-399	range	#90EE90	Gammaproteobacteria					
HQB-400	range	#00CD00	Alphaproteobacteria					
HQB-401	range	#4F94CD	Bacteroidetes					
HQB-403	range	#00CD00	Alphaproteobacteria					
HQB-404	range	#90EE90	Gammaproteobacteria					
HQB-406	range	#90EE90	Gammaproteobacteria					
HQB-407	range	#4F94CD	Bacteroidetes					
HQB-408	range	#90EE90	Gammaproteobacteria					
HQB-409	range	#90EE90	Gammaproteobacteria					
HQB-410	range	#90EE90	Gammaproteobacteria					
HQB-411	range	#90EE90	Gammaproteobacteria					
HQB-412	range	#90EE90	Gammaproteobacteria					
HQB-413	range	#4F94CD	Bacteroidetes					
HQB-414	range	#90EE90	Gammaproteobacteria					
HQB-415	range	#90EE90	Gammaproteobacteria					
HQB-416	range	#4F94CD	Bacteroidetes					
HQB-417	range	#90EE90	Gammaproteobacteria					
HQB-418	range	#90EE90	Gammaproteobacteria					
HQB-419	range	#EE7600	Firmicutes					
HQB-420	range	#90EE90	Gammaproteobacteria					
HQB-421	range	#90EE90	Gammaproteobacteria					
HQB-423	range	#EE7600	Firmicutes					
HQB-424	range	#90EE90	Gammaproteobacteria					
HQB-425	range	#4F94CD	Bacteroidetes					
HQB-426	range	#90EE90	Gammaproteobacteria					
